"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-4.957499914E-4,-3.530223194E-1,-5.004450613E-1,4.286032462E-1,7.475097057E-1
9.467250202E-3,-2.131313760E-1,-4.369812830E-1,5.778575188E-1,7.551800693E-1
1.943024993E-2,-6.160831064E-2,-4.039046073E-1,5.058905733E-1,6.502767010E-1
2.939224988E-2,-3.003134527E-2,-4.106356296E-1,3.391993189E-1,5.334601015E-1
3.935525008E-2,1.247917515E-1,-3.056668527E-1,1.907964009E-1,3.813246290E-1
4.931825027E-2,3.025404562E-1,-1.621981077E-1,2.190238345E-1,4.071982242E-1
5.928125000E-2,3.407925390E-1,-8.584253445E-2,3.120623910E-1,4.699908842E-1
6.924324995E-2,3.513238129E-1,-8.704852268E-2,3.120694077E-1,4.779049927E-1
7.920625014E-2,4.284894082E-1,-1.470674139E-1,3.303858107E-1,5.607020431E-1
8.916924987E-2,6.093580775E-1,-9.321558103E-2,3.422913265E-1,7.051026616E-1
9.913225006E-2,1.090210654E0,-2.534607187E-2,5.351862931E-1,1.214753498E0
1.090952503E-1,1.478284290E0,6.533912659E-2,8.989795858E-1,1.731403460E0
1.190572502E-1,1.484812122E0,5.730549082E-2,9.000010943E-1,1.737225641E0
1.290202499E-1,2.026107147E0,-7.367199361E-2,9.626048934E-1,2.244358687E0
1.389832501E-1,2.199931859E0,-3.722746789E-2,8.536478770E-1,2.360042535E0
1.489462499E-1,2.335793669E0,-1.644855385E-1,7.164669353E-1,2.448736904E0
1.589082503E-1,2.398466757E0,-3.354334196E-1,7.234911954E-1,2.527567581E0
1.688712500E-1,2.401563443E0,-3.627603820E-1,7.274047369E-1,2.535393404E0
1.788342502E-1,2.599418018E0,-4.654601468E-1,6.469780397E-1,2.718861483E0
1.887972499E-1,2.807818338E0,-4.400974104E-1,5.958862388E-1,2.903895653E0
1.987602501E-1,2.813881316E0,-3.375854874E-1,4.502508080E-1,2.869602379E0
2.087222501E-1,2.760381047E0,-3.205031392E-1,2.912556589E-1,2.794146676E0
2.186852503E-1,2.773231181E0,-3.612912691E-1,2.978577501E-1,2.812483209E0
2.286482500E-1,2.776834235E0,-1.022327185E-2,-1.186049223E-1,2.779384826E0
2.386112502E-1,3.181369172E0,2.513335016E-1,-2.336775416E-1,3.199825547E0
2.485732501E-1,3.328317595E0,4.381561348E-1,-3.092218137E-1,3.371245607E0
2.585362499E-1,3.278295250E0,5.644288033E-1,-3.899402869E-1,3.349306353E0
2.684992501E-1,3.065002856E0,5.422761883E-1,-4.362449723E-1,3.143026511E0
2.784622503E-1,3.063165076E0,5.135492563E-1,-4.308877534E-1,3.135662192E0
2.884252500E-1,2.334722605E0,1.919383621E-1,-5.865160757E-1,2.414906020E0
2.983878748E-1,2.007952712E0,-2.502359793E-2,-5.581032854E-1,2.084221570E0
3.083508750E-1,2.021132336E0,-3.997156620E-2,-3.673916692E-1,2.054641157E0
3.183138752E-1,1.954604909E0,-1.153003684E-1,-4.641069549E-1,2.012254902E0
3.282768750E-1,2.007447074E0,-2.001009290E-1,-4.221350563E-1,2.061087612E0
3.382388749E-1,1.996049535E0,-2.087146086E-1,-4.203686124E-1,2.050484164E0
3.482018751E-1,1.364325273E0,1.214807291E-1,-4.665686327E-1,1.447006326E0
3.581648748E-1,1.362235478E0,2.352618447E-1,-5.717343146E-1,1.495965829E0
3.681278750E-1,1.315305872E0,2.202875639E-1,-5.680283493E-1,1.449555916E0
3.780908752E-1,1.401425857E0,3.471793064E-1,-7.790619636E-1,1.640568635E0
3.880528752E-1,1.346198759E0,3.477204663E-1,-7.777668053E-1,1.593135846E0
3.980158749E-1,9.067625222E-1,-1.395334227E-1,-8.024134040E-1,1.218833507E0
4.079788751E-1,5.815523013E-1,-3.617850664E-1,-6.981511170E-1,9.780115007E-1
4.179418753E-1,5.384676775E-1,-3.298412888E-1,-7.027259785E-1,9.447573849E-1
4.279038752E-1,-4.523472175E-1,-6.330647363E-1,-6.991094756E-1,1.046012918E0
4.378668750E-1,-4.926499189E-1,-7.298474112E-1,-3.565567786E-1,9.500073276E-1
4.478298752E-1,-1.639595083E-1,-5.784727921E-1,1.492086643E-1,6.194971485E-1
4.577928749E-1,3.155322019E-2,-4.577108319E-1,1.640202463E-1,4.872344944E-1
4.677548748E-1,4.097709360E-1,-3.866464041E-1,2.798494953E-1,6.290654989E-1
4.777178750E-1,2.076768009E-1,-4.901912378E-1,1.262641901E-1,5.471377787E-1
4.876808752E-1,2.032878808E-1,-4.330912766E-1,1.171401948E-1,4.925604953E-1
4.976438750E-1,-6.158142807E-1,-7.986662158E-1,2.224187279E-1,1.032746360E0
5.076068752E-1,-8.675679047E-1,-1.022098412E0,3.377550566E-1,1.382547544E0
5.175688751E-1,-8.468083888E-1,-1.002911505E0,5.860418665E-1,1.437484262E0
5.275318748E-1,-8.016923692E-1,-1.019681758E0,5.900179732E-1,1.424985176E0
5.374948750E-1,-8.807932833E-1,-9.865757002E-1,5.920574820E-1,1.449020525E0
5.474578752E-1,-6.134449158E-1,-1.042789370E0,8.621339411E-1,1.485597276E0
5.574198752E-1,-5.716132772E-1,-1.079093124E0,1.135277265E0,1.667344648E0
5.673828749E-1,-6.483869264E-1,-1.271885472E0,1.030563573E0,1.760726991E0
5.773458751E-1,-6.426642564E-1,-1.140808438E0,1.324399023E0,1.862389329E0
5.873088753E-1,-1.217232789E0,-8.706124038E-1,1.060634049E0,1.834275390E0
